user,session_count,total_events,unique_page_types,events_per_session
10682174435461683906u,3,26,4,8.666666666666666
10682555374320156108u,1,6,3,6.0
1068282797385944706u,1,17,2,17.0
10684595224721550814u,1,6,1,6.0
10685994423741930597u,1,14,3,14.0
10686484014244872818u,1,12,4,12.0
10687652982183448898u,1,24,3,24.0
10688157935644936549u,1,10,3,10.0
10691067626495108359u,1,6,3,6.0
10691118278154957520u,4,15,2,3.75
10692889175811089131u,5,36,1,7.2
10693997287832066202u,1,7,2,7.0
1069436812804588062u,1,9,1,9.0
10695345518637732745u,1,7,3,7.0
10696598104636251704u,1,9,4,9.0
10697071516932215829u,1,6,1,6.0
10702556088070849582u,1,22,1,22.0
10703672051835609162u,1,11,1,11.0
10704322583809683687u,1,7,3,7.0
10708260085604995679u,1,6,2,6.0
10708463033731795828u,1,6,2,6.0
1070958455809363694u,4,11,3,2.75
1071069853925321727u,1,6,2,6.0
10711519344082899548u,3,12,2,4.0
10711867177112666289u,1,9,1,9.0
10712536871083520163u,5,17,2,3.4
10712815458875880953u,1,11,2,11.0
1071328429616648553u,1,6,1,6.0
10714718110903097633u,1,76,4,76.0
10714843852272223721u,1,9,1,9.0
10715278671283290577u,2,23,4,11.5
10717422926945769987u,1,23,3,23.0
10717542827002364426u,2,13,1,6.5
10718023280299491795u,1,22,3,22.0
10718289706117179626u,1,9,2,9.0
10718515689045332408u,3,20,4,6.666666666666667
10720186480671145717u,3,44,4,14.666666666666666
10720523451218465022u,1,14,2,14.0
1072074285425689223u,1,9,3,9.0
10720939615375644494u,5,23,4,4.6
1072124022953817613u,1,6,2,6.0
10721567622174676102u,1,6,4,6.0
10725359447033279804u,1,8,2,8.0
10725408220681242259u,1,11,3,11.0
10725594111538673470u,1,9,1,9.0
10725997339516963905u,1,7,2,7.0
10726580745528826322u,2,29,1,14.5
10726926254643428924u,1,15,2,15.0
10726931996455243216u,1,6,1,6.0
10728932989822412152u,1,13,2,13.0
10729127317706573809u,3,8,1,2.6666666666666665
10731465576236185500u,1,6,1,6.0
10731902290458823799u,1,8,2,8.0
10732430500556685127u,3,8,1,2.6666666666666665
10733835810043688617u,2,13,2,6.5
10733953138551013203u,1,7,1,7.0
10734301211556670588u,1,7,3,7.0
10736088311634926604u,11,14,1,1.2727272727272727
10738166909081659308u,1,6,2,6.0
1073897318332604534u,4,16,3,4.0
10739243829755770919u,3,21,1,7.0
10742684573810276577u,2,15,2,7.5
10747035278958961093u,2,9,1,4.5
10747068868135960080u,4,17,3,4.25
1074767374141811809u,1,6,2,6.0
10747724221432415767u,1,8,2,8.0
10747763085979919469u,1,6,1,6.0
10748034292037746812u,1,7,2,7.0
10748225977282813339u,1,12,2,12.0
1074906949688753631u,2,27,2,13.5
10749677799165735106u,2,12,2,6.0
1075055977840909572u,1,13,2,13.0
1075079224711864992u,1,13,3,13.0
10751445981383613702u,1,8,3,8.0
10751556171332715809u,1,7,2,7.0
10754914716598198847u,1,11,1,11.0
10755440235790115645u,1,8,3,8.0
10755466135688840163u,1,13,2,13.0
10755997279151233514u,1,17,4,17.0
10756027092231320679u,1,9,2,9.0
10757061568836136331u,1,15,4,15.0
10757496211604713145u,2,9,1,4.5
10758217786461411980u,5,34,3,6.8
10759245224551526748u,1,22,3,22.0
10760015902194397865u,1,9,2,9.0
10760038673952590698u,11,11,1,1.0
10763048275701603416u,3,20,4,6.666666666666667
10763508217099178361u,1,15,3,15.0
10764292430252866094u,8,17,3,2.125
10766691584671785837u,4,6,1,1.5
10768997150474864908u,1,7,2,7.0
10769334827458699771u,3,12,1,4.0
10770185070123831430u,1,6,2,6.0
10772165766947907984u,1,12,2,12.0
10772935597253992108u,1,7,3,7.0
